story_id,story_headline,section,priority,source_name,source_url,publication_date,discovery_source,collection_timestamp,parser_used,evidence_status,qa_status,date_status
story-032,Libya political track raised in UN Security Council context,United Nations,HIGH,Al Sabaah,https://alsabaah.ly/%d8%a7%d9%84%d8%a3%d9%85%d9%85-%d8%a7%d9%84%d9%85%d8%aa%d8%ad%d8%af%d8%a9-%d8%aa%d8%a4%d9%83%d8%af-%d8%b9%d9%84%d9%89-%d8%b6%d8%b1%d9%88%d8%b1%d8%a9-%d8%a5%d8%b4%d8%b1%d8%a7%d9%83-%d8%a7%d9%84%d8%b4/,2026-06-17,https://alsabaah.ly/?s=UNSMIL+Libya,2026-06-17T06:51:53Z,generic_list,collected_from_source,approved,in_range
story-026,UN officials address Libya political process and institutional division,United Nations,HIGH,Libya Review,https://libyareview.com/60083/unsmil-supports-libyas-national-anti-corruption-strategy/,2026-06-17,https://libyareview.com/?s=UNSMIL+Libya,2026-06-17T06:52:09Z,libya_review,collected_from_source,approved,in_range
story-020,General Saddam Haftar meets Greek Prime Minister in Athens to discuss cooperation and illegal migration,Migration,HIGH,Libya Update,https://libyaupdate.com/general-saddam-haftar-meets-greek-prime-minister-in-athens-to-discuss-cooperation-and-illegal-migration/,2026-06-16,https://libyaupdate.com/news/,2026-06-17T06:53:29Z,generic_list,collected_from_source,approved,in_range
story-031,UNSMIL-linked Structured Dialogue recommendations shape Libya transition debate,Politics,HIGH,Ean Libya,https://www.eanlibya.com/%d8%a7%d9%84%d8%a8%d8%b9%d8%ab%d8%a9-%d8%a7%d9%84%d8%a3%d9%85%d9%85%d9%8a%d8%a9-%d8%aa%d8%b9%d9%82%d8%af-%d8%a7%d8%ac%d8%aa%d9%85%d8%a7%d8%b9%d8%a7%d9%8b-%d8%a7%d9%81%d8%aa%d8%b1%d8%a7%d8%b6%d9%8a/,2026-06-17,https://www.eanlibya.com/?s=UNSMIL+Libya,2026-06-17T06:50:02Z,ean_libya,collected_from_source,approved,in_range
story-009,Delegations arrive in Tripoli for African petroleum training forum,Economy & Energy,HIGH,Libya Observer,https://libyaobserver.ly/inbrief/delegations-arrive-tripoli-african-petroleum-training-forum,2026-06-16,https://libyaobserver.ly/news,2026-06-17T06:49:15Z,libya_observer,collected_from_source,approved,in_range
story-002,Government bodies address public administration and service-delivery priorities,Economy & Energy,HIGH,Al Wasat,https://alwasat.ly/news/libya/521727,2026-06-16,https://alwasat.ly/section/libya,2026-06-17T06:49:09Z,al_wasat,collected_from_source,approved,in_range
story-007,"Koury, Russian Ambassador discuss structured dialogue outcomes and election efforts",Economy & Energy,HIGH,Libya Observer,https://libyaobserver.ly/inbrief/koury-russian-ambassador-discuss-structured-dialogue-outcomes-and-election-efforts,2026-06-16,https://libyaobserver.ly/news,2026-06-17T06:49:15Z,libya_observer,collected_from_source,approved,in_range
story-016,Libya Hosts Trilateral Meeting with Algeria & Tunisia to Tackle Smuggling & Migration,Migration,HIGH,Libya Review,https://libyareview.com/66263/libya-hosts-trilateral-meeting-with-algeria-tunisia-to-tackle-smuggling-migration/,2026-06-16,https://libyareview.com/category/libya/,2026-06-17T06:52:09Z,libya_review,collected_from_source,approved,in_range
story-014,Libya and Mauritania discuss expanding bilateral partnership,Economy & Energy,HIGH,Libya Herald,https://libyaherald.com/2026/06/third-made-in-libya-exhibition-to-be-held-in-mauritania-in-december-2026,2026-06-16,https://libyaherald.com/category/libya/,2026-06-17T06:51:33Z,libya_herald,collected_from_source,approved,in_range
story-004,"Libya, Iraq discuss education cooperation MoU",Economy & Energy,HIGH,Libya Observer,https://libyaobserver.ly/inbrief/libya-iraq-discuss-education-cooperation-mou,2026-06-16,https://libyaobserver.ly/news,2026-06-17T06:49:15Z,libya_observer,collected_from_source,approved,in_range
story-013,Libyan Business Council Benghazi Hosts Chinese Ambassador,Economy & Energy,HIGH,Libya Herald,https://libyaherald.com/2026/06/lbc-benghazi-branch-hosts-chinese-ambassador,2026-06-16,https://libyaherald.com/category/libya/,2026-06-17T06:51:33Z,libya_herald,collected_from_source,approved,in_range
story-011,Libyan Investment Authority Assets Rise to $51.8 Billion in First Quarter of 2026,Economy & Energy,HIGH,Libya Observer,https://libyaobserver.ly/economy/libya-investment-authority-announces-assets-increase-518-billion,2026-06-16,https://libyaobserver.ly/economy,2026-06-17T06:49:15Z,libya_observer,collected_from_source,approved,in_range
story-011,Libyan Investment Authority Assets Rise to $51.8 Billion in First Quarter of 2026,Economy & Energy,HIGH,Libya Review,https://libyareview.com/66255/libyan-investment-authority-assets-rise-to-51-8-billion-in-first-quarter-of-2026/,2026-06-16,https://libyareview.com/,2026-06-17T06:52:09Z,libya_review,collected_from_source,approved,in_range
story-008,Libyan authorities expand deportation and anti-migration operations,Economy & Energy,HIGH,Libya Observer,https://libyaobserver.ly/news/protesters-shut-down-iom-office-tripoli-over-migration-policies,2026-06-16,https://libyaobserver.ly/news,2026-06-17T06:49:15Z,libya_observer,collected_from_source,approved,in_range
story-010,NOC signs 3 oil production-sharing agreements with international firms,Economy & Energy,HIGH,Libya Observer,https://libyaobserver.ly/economy/noc-signs-3-oil-production-sharing-agreements-international-firms,2026-06-16,https://libyaobserver.ly/economy,2026-06-17T06:49:15Z,libya_observer,collected_from_source,approved,in_range
story-005,"Saddam Haftar, Greek PM review military and economic cooperation",Economy & Energy,HIGH,Libya Observer,https://libyaobserver.ly/inbrief/saddam-haftar-greek-pm-review-military-and-economic-cooperation,2026-06-16,https://libyaobserver.ly/news,2026-06-17T06:49:15Z,libya_observer,collected_from_source,approved,in_range
story-019,Structured Dialogue recommendations advance Libya political process,Politics,HIGH,Al Marsad,https://almarsad.co/2026/06/16/%d8%a7%d9%84%d9%81%d8%b1%d9%8a%d9%82-%d8%a7%d9%84%d8%aa%d9%85%d9%8a%d9%85%d9%8a-%d9%8a%d8%a8%d8%ad%d8%ab-%d9%85%d8%b9-%d8%ae%d9%88%d8%b1%d9%8a-%d8%aa%d9%88%d8%b5%d9%8a%d8%a7%d8%aa-%d8%a7%d9%84%d8%ad/,2026-06-16,https://almarsad.co/category/libya/,2026-06-17T06:53:05Z,generic_list,collected_from_source,approved,in_range
story-006,UN migration agencies track protection and return issues affecting Libya,Economy & Energy,HIGH,Libya Observer,https://libyaobserver.ly/inbrief/french-ambassador-khaled-haftar-hold-talks-military-cooperation-benghazi,2026-06-16,https://libyaobserver.ly/news,2026-06-17T06:49:15Z,libya_observer,collected_from_source,approved,in_range
story-022,"Business & Investment â¢ 3 days ago Koreaâs KS AUTOTRADING signs investment agreement with, and opens branch in, Misrata Free Zone Read Article â",Economy & Energy,HIGH,Libya Herald,https://libyaherald.com/2026/06/koreas-ks-autotrading-signs-investment-agreement-with-and-opens-branch-in-misrata-free-zone,2026-06-17,https://libyaherald.com/?s=UNSMIL+Libya,2026-06-17T06:51:33Z,libya_herald,collected_from_source,approved,in_range
story-021,"Economy & Policy â¢ 3 days ago CBL source to Libya Herald: All CBL systems are back in operation - Personal Loan limit to rise to US$ 4,000 Read Art...",Economy & Energy,HIGH,Libya Herald,https://libyaherald.com/2026/06/cbl-source-to-libya-herald-all-cbl-systems-are-back-in-operation-personal-loan-limit-to-rise-to-us-4000,2026-06-17,https://libyaherald.com/?s=UNSMIL+Libya,2026-06-17T06:51:33Z,libya_herald,collected_from_source,approved,in_range
story-030,Libyan security authorities report local arrest operation,Military & Security,HIGH,Libya Al Ahrar,https://libyaalahrar.tv/2026/06/16/%d8%b3%d8%b1%d8%aa-%d9%83%d8%b4%d9%81-%d8%ac%d8%b1%d9%8a%d9%85%d8%a9-%d9%82%d8%aa%d9%84-%d8%a8%d8%a7%d9%84%d8%ad%d9%8a-%d8%a7%d9%84%d8%b5%d9%86%d8%a7%d8%b9%d9%8a-%d8%b1%d8%a7%d8%ad-%d8%b6%d8%ad/,2026-06-16,https://libyaalahrar.tv/category/news/,2026-06-17T06:49:25Z,libya_al_ahrar,collected_from_source,approved,in_range
story-025,Deaths reported after migrant boat incident linked to Libya route,Migration,HIGH,Akhbar Libya 24,https://akhbarlibya24.net/2026/06/17/%d9%83%d9%85%d9%88%d8%af-%d9%85%d8%a4%d8%aa%d9%85%d8%b1-%d8%a8%d9%86%d8%ba%d8%a7%d8%b2%d9%8a-%d9%8a%d8%b9%d8%b2%d8%b2-%d8%a7%d9%84%d8%a5%d9%81%d8%b1%d9%8a%d9%82%d9%8a-%d8%a7%d9%84%d8%a2%d8%b3%d9%8a,2026-06-17,https://akhbarlibya24.net/,2026-06-17T06:54:35Z,generic_list,collected_from_source,approved,in_range
story-018,Public Prosecution orders detention in local accountability case,Human Rights & Rule of Law,HIGH,Al Marsad,https://almarsad.co/2026/06/16/%d8%a7%d9%84%d9%86%d8%a7%d8%a6%d8%a8-%d8%a7%d9%84%d8%b9%d8%a7%d9%85-%d8%b9%d9%85%d9%8a%d8%af-%d8%b3%d8%a7%d8%a8%d9%82-%d9%84%d8%b3%d9%88%d9%82-%d8%a7%d9%84%d8%ae%d9%85%d9%8a%d8%b3-%d9%85%d8%b3%d9%8a/,2026-06-16,https://almarsad.co/category/libya/,2026-06-17T06:53:05Z,generic_list,collected_from_source,approved,in_range
story-029,Health and rights concerns grow over Gaza convoy activists detained in eastern Libya,Human Rights & Rule of Law,HIGH,Tanasuh,https://tanasuh.tv/12548-3/,2026-06-16,https://tanasuh.tv/?s=UNSMIL+Libya,2026-06-17T06:54:25Z,generic_list,collected_from_source,approved,in_range
story-024,Public Prosecution pursues corruption case with rule-of-law implications,Human Rights & Rule of Law,HIGH,Akhbar Libya 24,https://akhbarlibya24.net/2026/06/17/%d8%a7%d9%84%d9%86%d9%8a%d8%a7%d8%a8%d8%a9-%d8%a7%d9%84%d8%b9%d8%a7%d9%85%d8%a9-%d8%aa%d8%a3%d9%85%d8%b1-%d8%a8%d8%ad%d8%a8%d8%b3-%d8%b9%d9%85%d9%8a%d8%af,2026-06-17,https://akhbarlibya24.net/,2026-06-17T06:54:35Z,generic_list,collected_from_source,approved,in_range
story-001,Libyan security authorities report drug-enforcement operation,Military & Security,HIGH,Al Wasat,https://alwasat.ly/news/libya/521758,2026-06-17,https://alwasat.ly/section/libya,2026-06-17T06:49:09Z,al_wasat,collected_from_source,approved,in_range
story-017,South Korea Orders Deportation of Libyan National Over $62 Million Crypto Scheme,Economy & Energy,MEDIUM,Libya Review,https://libyareview.com/66265/south-korea-orders-deportation-of-libyan-national-over-62-million-crypto-scheme/,2026-06-16,https://libyareview.com/category/libya/,2026-06-17T06:52:09Z,libya_review,collected_from_source,approved,in_range
story-028,Electricity outages and grid pressures continue affecting western Libya,Economy & Energy,MEDIUM,RNA Reportage,https://reportage.ly/إعادة-الكهرباء-إلى-مناطق-في-بنغازي/,2026-06-16,https://reportage.ly/,2026-06-17T06:51:46Z,rna_reportage,collected_from_source,approved,in_range
story-012,Government reviews implementation challenges affecting Tripoli development projects,Regional & International,MEDIUM,Libya Al Ahrar,https://libyaalahrar.tv/2026/06/16/%d9%85%d9%86%d8%b8%d9%85%d8%a9-%d8%af%d8%b9%d9%85-%d8%a7%d9%84%d8%aa%d8%a8%d8%b1%d8%b9-%d8%a8%d8%a7%d9%84%d8%a3%d8%b9%d8%b6%d8%a7%d8%a1-%d8%aa%d8%b9%d9%84%d9%86-%d9%88%d9%81%d8%a7%d8%a9-%d9%85%d8%b1/,2026-06-16,https://libyaalahrar.tv/category/news/,2026-06-17T06:49:25Z,libya_al_ahrar,collected_from_source,approved,in_range
story-003,Libya participates in regional election-related forum in Tunisia,Regional & International,MEDIUM,Al Wasat,https://alwasat.ly/news/libya/521721,2026-06-16,https://alwasat.ly/section/libya,2026-06-17T06:49:09Z,al_wasat,collected_from_source,approved,in_range
story-003,Libya participates in regional election-related forum in Tunisia,Regional & International,MEDIUM,Tanasuh,https://tanasuh.tv/45245-2/,2026-06-16,https://tanasuh.tv/?s=UNSMIL+Libya,2026-06-17T06:54:25Z,generic_list,collected_from_source,approved,in_range
story-023,Egypt and United States discuss developments in Libya and Sudan,Regional & International,MEDIUM,Libya Review,https://libyareview.com/64449/egypt-comeback-deepens-libyas-u17-qualifying-woes/,2026-06-17,https://libyareview.com/,2026-06-17T06:52:09Z,libya_review,collected_from_source,approved,in_range
story-027,Libyan and Turkish officials discuss strengthening bilateral cooperation,Regional & International,MEDIUM,Libya Review,https://libyareview.com/46474/turkey-engages-in-talks-with-egypt-to-promote-peace-in-libya/,2026-06-17,https://libyareview.com/?s=Libya+Egypt+talks,2026-06-17T06:52:09Z,libya_review,collected_from_source,approved,in_range
story-015,Libyan institutions address cultural and social developments with national monitoring relevance,Varieties,MEDIUM,Libya Herald,https://libyaherald.com/2026/06/benghazi-home-hospitality-show-2026-opens,2026-06-16,https://libyaherald.com/category/libya/,2026-06-17T06:51:33Z,libya_herald,collected_from_source,approved,in_range
