category,expected,found,number_of_items,sources_checked,specific_search_terms_used,status,notes
United Nations,yes,partial,4,Al Wasat; Libya Observer; Libya Al Ahrar; Ean Libya; Al Menassa; LANA; Libya 24; Libya Herald; RNA Reportage; Al Sabaah; Libya Review; Address Libya; Al Shahed; Al Marsad; Libya Update; Fawasel Media; Tanasuh; Akhbar Libya 24; Al Saaa 24; Asharq Al Awsat; Al Mashhad; Al Ain; Arabi21; New Arab; ANSA; Anadolu Agency; The Guardian; BSS News; CH Aviation; Volcanodiscovery; Reuters; AP; BBC; Al Jazeera Arabic - Libya,UNSMIL; Tetteh; Koury; البعثة الأممية; الأمم المتحدة; تيتيه; خوري,review_only,4 item(s) were collected but require date/editorial review.
Politics,yes,partial,6,Al Wasat; Libya Observer; Libya Al Ahrar; Ean Libya; Al Menassa; LANA; Libya 24; Libya Herald; RNA Reportage; Al Sabaah; Libya Review; Address Libya; Al Shahed; Al Marsad; Libya Update; Fawasel Media; Tanasuh; Akhbar Libya 24; Al Saaa 24; Asharq Al Awsat; Al Mashhad; Al Ain; Arabi21; New Arab; ANSA; Anadolu Agency; The Guardian; BSS News; CH Aviation; Volcanodiscovery; Reuters; AP; BBC; Al Jazeera Arabic - Libya,structured dialogue; elections; House of Representatives; High State Council; حوار; انتخابات; مجلس النواب; المجلس الأعلى للدولة,review_only,6 item(s) were collected but require date/editorial review.
Structured Dialogue,yes,partial,1,Al Wasat; Libya Observer; Libya Al Ahrar; Ean Libya; Al Menassa; LANA; Libya 24; Libya Herald; RNA Reportage; Al Sabaah; Libya Review; Address Libya; Al Shahed; Al Marsad; Libya Update; Fawasel Media; Tanasuh; Akhbar Libya 24; Al Saaa 24; Asharq Al Awsat; Al Mashhad; Al Ain; Arabi21; New Arab; ANSA; Anadolu Agency; The Guardian; BSS News; CH Aviation; Volcanodiscovery; Reuters; AP; BBC; Al Jazeera Arabic - Libya,structured dialogue; dialogue committee; political roadmap; الحوار المهيكل; لجنة الحوار; خارطة الطريق,review_only,1 item(s) were collected but require date/editorial review.
Government Affairs,yes,partial,5,Al Wasat; Libya Observer; Libya Al Ahrar; Ean Libya; Al Menassa; LANA; Libya 24; Libya Herald; RNA Reportage; Al Sabaah; Libya Review; Address Libya; Al Shahed; Al Marsad; Libya Update; Fawasel Media; Tanasuh; Akhbar Libya 24; Al Saaa 24; Asharq Al Awsat; Al Mashhad; Al Ain; Arabi21; New Arab; ANSA; Anadolu Agency; The Guardian; BSS News; CH Aviation; Volcanodiscovery; Reuters; AP; BBC; Al Jazeera Arabic - Libya,GNU; Dbeibah; Presidential Council; Menfi; government; حكومة الوحدة; الدبيبة; المجلس الرئاسي; المنفي,review_only,5 item(s) were collected but require date/editorial review.
Elections,yes,partial,11,Al Wasat; Libya Observer; Libya Al Ahrar; Ean Libya; Al Menassa; LANA; Libya 24; Libya Herald; RNA Reportage; Al Sabaah; Libya Review; Address Libya; Al Shahed; Al Marsad; Libya Update; Fawasel Media; Tanasuh; Akhbar Libya 24; Al Saaa 24; Asharq Al Awsat; Al Mashhad; Al Ain; Arabi21; New Arab; ANSA; Anadolu Agency; The Guardian; BSS News; CH Aviation; Volcanodiscovery; Reuters; AP; BBC; Al Jazeera Arabic - Libya,elections; HNEC; electoral laws; انتخابات; المفوضية الوطنية العليا للانتخابات; القوانين الانتخابية,collected_not_accepted,11 candidate item(s) were collected but not accepted.
Military & Security,yes,partial,8,Al Wasat; Libya Observer; Libya Al Ahrar; Ean Libya; Al Menassa; LANA; Libya 24; Libya Herald; RNA Reportage; Al Sabaah; Libya Review; Address Libya; Al Shahed; Al Marsad; Libya Update; Fawasel Media; Tanasuh; Akhbar Libya 24; Al Saaa 24; Asharq Al Awsat; Al Mashhad; Al Ain; Arabi21; New Arab; ANSA; Anadolu Agency; The Guardian; BSS News; CH Aviation; Volcanodiscovery; Reuters; AP; BBC; Al Jazeera Arabic - Libya,security; clashes; Zawiya; Kufra; أمن; اشتباكات; الزاوية; الكفرة,review_only,8 item(s) were collected but require date/editorial review.
Migration,yes,partial,6,Al Wasat; Libya Observer; Libya Al Ahrar; Ean Libya; Al Menassa; LANA; Libya 24; Libya Herald; RNA Reportage; Al Sabaah; Libya Review; Address Libya; Al Shahed; Al Marsad; Libya Update; Fawasel Media; Tanasuh; Akhbar Libya 24; Al Saaa 24; Asharq Al Awsat; Al Mashhad; Al Ain; Arabi21; New Arab; ANSA; Anadolu Agency; The Guardian; BSS News; CH Aviation; Volcanodiscovery; Reuters; AP; BBC; Al Jazeera Arabic - Libya,migration; migrants; UNHCR; IOM; deportation; trafficking; هجرة; مهاجرين; لاجئين; ترحيل; اتجار بالبشر,review_only,6 item(s) were collected but require date/editorial review.
Human Rights,yes,partial,1,Al Wasat; Libya Observer; Libya Al Ahrar; Ean Libya; Al Menassa; LANA; Libya 24; Libya Herald; RNA Reportage; Al Sabaah; Libya Review; Address Libya; Al Shahed; Al Marsad; Libya Update; Fawasel Media; Tanasuh; Akhbar Libya 24; Al Saaa 24; Asharq Al Awsat; Al Mashhad; Al Ain; Arabi21; New Arab; ANSA; Anadolu Agency; The Guardian; BSS News; CH Aviation; Volcanodiscovery; Reuters; AP; BBC; Al Jazeera Arabic - Libya,human rights; rights violations; detention; حقوق الإنسان; انتهاكات; احتجاز,review_only,1 item(s) were collected but require date/editorial review.
Rule of Law,yes,partial,2,Al Wasat; Libya Observer; Libya Al Ahrar; Ean Libya; Al Menassa; LANA; Libya 24; Libya Herald; RNA Reportage; Al Sabaah; Libya Review; Address Libya; Al Shahed; Al Marsad; Libya Update; Fawasel Media; Tanasuh; Akhbar Libya 24; Al Saaa 24; Asharq Al Awsat; Al Mashhad; Al Ain; Arabi21; New Arab; ANSA; Anadolu Agency; The Guardian; BSS News; CH Aviation; Volcanodiscovery; Reuters; AP; BBC; Al Jazeera Arabic - Libya,Attorney General; Audit Bureau; Anti-Corruption; prosecution; النائب العام; ديوان المحاسبة; مكافحة الفساد; النيابة,review_only,2 item(s) were collected but require date/editorial review.
Central Bank,yes,partial,3,Al Wasat; Libya Observer; Libya Al Ahrar; Ean Libya; Al Menassa; LANA; Libya 24; Libya Herald; RNA Reportage; Al Sabaah; Libya Review; Address Libya; Al Shahed; Al Marsad; Libya Update; Fawasel Media; Tanasuh; Akhbar Libya 24; Al Saaa 24; Asharq Al Awsat; Al Mashhad; Al Ain; Arabi21; New Arab; ANSA; Anadolu Agency; The Guardian; BSS News; CH Aviation; Volcanodiscovery; Reuters; AP; BBC; Al Jazeera Arabic - Libya,Central Bank; CBL; liquidity; salary; مصرف ليبيا المركزي; السيولة; المرتبات,review_only,3 item(s) were collected but require date/editorial review.
Oil,yes,partial,8,Al Wasat; Libya Observer; Libya Al Ahrar; Ean Libya; Al Menassa; LANA; Libya 24; Libya Herald; RNA Reportage; Al Sabaah; Libya Review; Address Libya; Al Shahed; Al Marsad; Libya Update; Fawasel Media; Tanasuh; Akhbar Libya 24; Al Saaa 24; Asharq Al Awsat; Al Mashhad; Al Ain; Arabi21; New Arab; ANSA; Anadolu Agency; The Guardian; BSS News; CH Aviation; Volcanodiscovery; Reuters; AP; BBC; Al Jazeera Arabic - Libya,NOC; National Oil Corporation; oil; Ras Lanuf; المؤسسة الوطنية للنفط; النفط; رأس لانوف,review_only,8 item(s) were collected but require date/editorial review.
Energy,yes,partial,8,Al Wasat; Libya Observer; Libya Al Ahrar; Ean Libya; Al Menassa; LANA; Libya 24; Libya Herald; RNA Reportage; Al Sabaah; Libya Review; Address Libya; Al Shahed; Al Marsad; Libya Update; Fawasel Media; Tanasuh; Akhbar Libya 24; Al Saaa 24; Asharq Al Awsat; Al Mashhad; Al Ain; Arabi21; New Arab; ANSA; Anadolu Agency; The Guardian; BSS News; CH Aviation; Volcanodiscovery; Reuters; AP; BBC; Al Jazeera Arabic - Libya,fuel; Brega; gas; energy; الوقود; البريقة; الغاز; الطاقة,review_only,8 item(s) were collected but require date/editorial review.
Electricity,yes,partial,1,Al Wasat; Libya Observer; Libya Al Ahrar; Ean Libya; Al Menassa; LANA; Libya 24; Libya Herald; RNA Reportage; Al Sabaah; Libya Review; Address Libya; Al Shahed; Al Marsad; Libya Update; Fawasel Media; Tanasuh; Akhbar Libya 24; Al Saaa 24; Asharq Al Awsat; Al Mashhad; Al Ain; Arabi21; New Arab; ANSA; Anadolu Agency; The Guardian; BSS News; CH Aviation; Volcanodiscovery; Reuters; AP; BBC; Al Jazeera Arabic - Libya,electricity; power grid; GECOL; الكهرباء; الشبكة العامة; الشركة العامة للكهرباء,review_only,1 item(s) were collected but require date/editorial review.
Reconstruction,yes,partial,3,Al Wasat; Libya Observer; Libya Al Ahrar; Ean Libya; Al Menassa; LANA; Libya 24; Libya Herald; RNA Reportage; Al Sabaah; Libya Review; Address Libya; Al Shahed; Al Marsad; Libya Update; Fawasel Media; Tanasuh; Akhbar Libya 24; Al Saaa 24; Asharq Al Awsat; Al Mashhad; Al Ain; Arabi21; New Arab; ANSA; Anadolu Agency; The Guardian; BSS News; CH Aviation; Volcanodiscovery; Reuters; AP; BBC; Al Jazeera Arabic - Libya,reconstruction; Derna; development projects; إعادة الإعمار; درنة; مشروعات التنمية,review_only,3 item(s) were collected but require date/editorial review.
Economy,yes,partial,17,Al Wasat; Libya Observer; Libya Al Ahrar; Ean Libya; Al Menassa; LANA; Libya 24; Libya Herald; RNA Reportage; Al Sabaah; Libya Review; Address Libya; Al Shahed; Al Marsad; Libya Update; Fawasel Media; Tanasuh; Akhbar Libya 24; Al Saaa 24; Asharq Al Awsat; Al Mashhad; Al Ain; Arabi21; New Arab; ANSA; Anadolu Agency; The Guardian; BSS News; CH Aviation; Volcanodiscovery; Reuters; AP; BBC; Al Jazeera Arabic - Libya,Central Bank; NOC; oil; fuel; electricity; Audit Bureau; مصرف ليبيا المركزي; المؤسسة الوطنية للنفط; النفط; الوقود; الكهرباء; ديوان المحاسبة,review_only,17 item(s) were collected but require date/editorial review.
Environment,yes,partial,2,Al Wasat; Libya Observer; Libya Al Ahrar; Ean Libya; Al Menassa; LANA; Libya 24; Libya Herald; RNA Reportage; Al Sabaah; Libya Review; Address Libya; Al Shahed; Al Marsad; Libya Update; Fawasel Media; Tanasuh; Akhbar Libya 24; Al Saaa 24; Asharq Al Awsat; Al Mashhad; Al Ain; Arabi21; New Arab; ANSA; Anadolu Agency; The Guardian; BSS News; CH Aviation; Volcanodiscovery; Reuters; AP; BBC; Al Jazeera Arabic - Libya,environment; weather; floods; climate; water; groundwater; livestock; بيئة; طقس; فيضانات; مناخ; مياه; مياه جوفية; الثروة الحيوانية,review_only,2 item(s) were collected but require date/editorial review.
Regional Diplomacy,yes,partial,7,Al Wasat; Libya Observer; Libya Al Ahrar; Ean Libya; Al Menassa; LANA; Libya 24; Libya Herald; RNA Reportage; Al Sabaah; Libya Review; Address Libya; Al Shahed; Al Marsad; Libya Update; Fawasel Media; Tanasuh; Akhbar Libya 24; Al Saaa 24; Asharq Al Awsat; Al Mashhad; Al Ain; Arabi21; New Arab; ANSA; Anadolu Agency; The Guardian; BSS News; CH Aviation; Volcanodiscovery; Reuters; AP; BBC; Al Jazeera Arabic - Libya,regional diplomacy; Tunisia; Egypt; Italy; France; Uganda; تونس; مصر; إيطاليا; فرنسا; أوغندا,review_only,7 item(s) were collected but require date/editorial review.
Regional & International,yes,partial,7,Al Wasat; Libya Observer; Libya Al Ahrar; Ean Libya; Al Menassa; LANA; Libya 24; Libya Herald; RNA Reportage; Al Sabaah; Libya Review; Address Libya; Al Shahed; Al Marsad; Libya Update; Fawasel Media; Tanasuh; Akhbar Libya 24; Al Saaa 24; Asharq Al Awsat; Al Mashhad; Al Ain; Arabi21; New Arab; ANSA; Anadolu Agency; The Guardian; BSS News; CH Aviation; Volcanodiscovery; Reuters; AP; BBC; Al Jazeera Arabic - Libya,Reuters Libya; Anadolu Libya; international Libya; ليبيا دولي; ليبيا إقليمي,review_only,7 item(s) were collected but require date/editorial review.
Analysis,yes,partial,29,Al Wasat; Libya Observer; Libya Al Ahrar; Ean Libya; Al Menassa; LANA; Libya 24; Libya Herald; RNA Reportage; Al Sabaah; Libya Review; Address Libya; Al Shahed; Al Marsad; Libya Update; Fawasel Media; Tanasuh; Akhbar Libya 24; Al Saaa 24; Asharq Al Awsat; Al Mashhad; Al Ain; Arabi21; New Arab; ANSA; Anadolu Agency; The Guardian; BSS News; CH Aviation; Volcanodiscovery; Reuters; AP; BBC; Al Jazeera Arabic - Libya,analysis; commentary; opinion; تحليل; تعليق,collected_not_accepted,29 candidate item(s) were collected but not accepted.
Opinion,yes,partial,13,Al Wasat; Libya Observer; Libya Al Ahrar; Ean Libya; Al Menassa; LANA; Libya 24; Libya Herald; RNA Reportage; Al Sabaah; Libya Review; Address Libya; Al Shahed; Al Marsad; Libya Update; Fawasel Media; Tanasuh; Akhbar Libya 24; Al Saaa 24; Asharq Al Awsat; Al Mashhad; Al Ain; Arabi21; New Arab; ANSA; Anadolu Agency; The Guardian; BSS News; CH Aviation; Volcanodiscovery; Reuters; AP; BBC; Al Jazeera Arabic - Libya,opinion; column; commentary; رأي; مقال,collected_not_accepted,13 candidate item(s) were collected but not accepted.
Features,yes,partial,1,Al Wasat; Libya Observer; Libya Al Ahrar; Ean Libya; Al Menassa; LANA; Libya 24; Libya Herald; RNA Reportage; Al Sabaah; Libya Review; Address Libya; Al Shahed; Al Marsad; Libya Update; Fawasel Media; Tanasuh; Akhbar Libya 24; Al Saaa 24; Asharq Al Awsat; Al Mashhad; Al Ain; Arabi21; New Arab; ANSA; Anadolu Agency; The Guardian; BSS News; CH Aviation; Volcanodiscovery; Reuters; AP; BBC; Al Jazeera Arabic - Libya,feature; interview; podcast; long-form; تقرير; مقابلة; بودكاست,review_only,1 item(s) were collected but require date/editorial review.
Varieties,yes,partial,1,Al Wasat; Libya Observer; Libya Al Ahrar; Ean Libya; Al Menassa; LANA; Libya 24; Libya Herald; RNA Reportage; Al Sabaah; Libya Review; Address Libya; Al Shahed; Al Marsad; Libya Update; Fawasel Media; Tanasuh; Akhbar Libya 24; Al Saaa 24; Asharq Al Awsat; Al Mashhad; Al Ain; Arabi21; New Arab; ANSA; Anadolu Agency; The Guardian; BSS News; CH Aviation; Volcanodiscovery; Reuters; AP; BBC; Al Jazeera Arabic - Libya,sports Libya; culture Libya; analysis Libya; opinion Libya; رياضة ليبيا; ثقافة ليبيا; تحليل ليبيا; رأي ليبيا,review_only,1 item(s) were collected but require date/editorial review.
