story_id,canonical_headline,summary,section,priority,relevance_score,publication_date,sources,article_urls,article_count,confidence,reason_for_inclusion,qa_status,qa_notes
story-032,Libya political track raised in UN Security Council context,Included because it affects Libya's political process or national institutions.,United Nations,HIGH,96,2026-06-17,Al Sabaah,https://alsabaah.ly/%d8%a7%d9%84%d8%a3%d9%85%d9%85-%d8%a7%d9%84%d9%85%d8%aa%d8%ad%d8%af%d8%a9-%d8%aa%d8%a4%d9%83%d8%af-%d8%b9%d9%84%d9%89-%d8%b6%d8%b1%d9%88%d8%b1%d8%a9-%d8%a5%d8%b4%d8%b1%d8%a7%d9%83-%d8%a7%d9%84%d8%b4/,1,92,Included because it concerns UN engagement or the UN track in Libya.,approved,Single-source story; classification_qa:un security council
story-026,UN officials address Libya political process and institutional division,Included because it concerns UN engagement or the UN track in Libya.,United Nations,HIGH,96,2026-06-17,Libya Review,https://libyareview.com/60083/unsmil-supports-libyas-national-anti-corruption-strategy/,1,96,Included because it concerns UN engagement or the UN track in Libya.,approved,Single-source story
story-020,General Saddam Haftar meets Greek Prime Minister in Athens to discuss cooperation and illegal migration,"Included because migration, refugees or migrant protection affect UNSMIL situational awareness.",Migration,HIGH,92,2026-06-16,Libya Update,https://libyaupdate.com/general-saddam-haftar-meets-greek-prime-minister-in-athens-to-discuss-cooperation-and-illegal-migration/,1,92,"Included because migration, refugees or migrant protection affect UNSMIL situational awareness.",approved,Single-source story
story-031,UNSMIL-linked Structured Dialogue recommendations shape Libya transition debate,Included because it affects Libya's political process or national institutions.,Politics,HIGH,92,2026-06-17,Ean Libya,https://www.eanlibya.com/%d8%a7%d9%84%d8%a8%d8%b9%d8%ab%d8%a9-%d8%a7%d9%84%d8%a3%d9%85%d9%85%d9%8a%d8%a9-%d8%aa%d8%b9%d9%82%d8%af-%d8%a7%d8%ac%d8%aa%d9%85%d8%a7%d8%b9%d8%a7%d9%8b-%d8%a7%d9%81%d8%aa%d8%b1%d8%a7%d8%b6%d9%8a/,1,92,Included because it affects Libya's political process or national institutions.,approved,Single-source story
story-009,Delegations arrive in Tripoli for African petroleum training forum,"Included because it concerns economic stability, public finance, oil, fuel or energy policy.",Economy & Energy,HIGH,91,2026-06-16,Libya Observer,https://libyaobserver.ly/inbrief/delegations-arrive-tripoli-african-petroleum-training-forum,1,91,"Included because it concerns economic stability, public finance, oil, fuel or energy policy.",approved,Single-source story
story-002,Government bodies address public administration and service-delivery priorities,"Included because it concerns economic stability, public finance, oil, fuel or energy policy.",Economy & Energy,HIGH,91,2026-06-16,Al Wasat,https://alwasat.ly/news/libya/521727,1,91,"Included because it concerns economic stability, public finance, oil, fuel or energy policy.",approved,Single-source story
story-007,"Koury, Russian Ambassador discuss structured dialogue outcomes and election efforts","Included because it concerns economic stability, public finance, oil, fuel or energy policy.",Economy & Energy,HIGH,91,2026-06-16,Libya Observer,https://libyaobserver.ly/inbrief/koury-russian-ambassador-discuss-structured-dialogue-outcomes-and-election-efforts,1,91,"Included because it concerns economic stability, public finance, oil, fuel or energy policy.",approved,Single-source story
story-016,Libya Hosts Trilateral Meeting with Algeria & Tunisia to Tackle Smuggling & Migration,"Included because migration, refugees or migrant protection affect UNSMIL situational awareness.",Migration,HIGH,91,2026-06-16,Libya Review,https://libyareview.com/66263/libya-hosts-trilateral-meeting-with-algeria-tunisia-to-tackle-smuggling-migration/,1,91,"Included because migration, refugees or migrant protection affect UNSMIL situational awareness.",approved,Single-source story
story-014,Libya and Mauritania discuss expanding bilateral partnership,"Included because it concerns economic stability, public finance, oil, fuel or energy policy.",Economy & Energy,HIGH,91,2026-06-16,Libya Herald,https://libyaherald.com/2026/06/third-made-in-libya-exhibition-to-be-held-in-mauritania-in-december-2026,1,91,"Included because it concerns economic stability, public finance, oil, fuel or energy policy.",approved,Single-source story
story-004,"Libya, Iraq discuss education cooperation MoU","Included because it concerns economic stability, public finance, oil, fuel or energy policy.",Economy & Energy,HIGH,91,2026-06-16,Libya Observer,https://libyaobserver.ly/inbrief/libya-iraq-discuss-education-cooperation-mou,1,91,"Included because it concerns economic stability, public finance, oil, fuel or energy policy.",approved,Single-source story
story-013,Libyan Business Council Benghazi Hosts Chinese Ambassador,"Included because it concerns economic stability, public finance, oil, fuel or energy policy.",Economy & Energy,HIGH,91,2026-06-16,Libya Herald,https://libyaherald.com/2026/06/lbc-benghazi-branch-hosts-chinese-ambassador,1,91,"Included because it concerns economic stability, public finance, oil, fuel or energy policy.",approved,Single-source story
story-011,Libyan Investment Authority Assets Rise to $51.8 Billion in First Quarter of 2026,"Included because it concerns economic stability, public finance, oil, fuel or energy policy.",Economy & Energy,HIGH,91,2026-06-16,Libya Observer; Libya Review,https://libyaobserver.ly/economy/libya-investment-authority-announces-assets-increase-518-billion; https://libyareview.com/66255/libyan-investment-authority-assets-rise-to-51-8-billion-in-first-quarter-of-2026/,2,95,"Included because it concerns economic stability, public finance, oil, fuel or energy policy.",approved,Cross-source cluster
story-008,Libyan authorities expand deportation and anti-migration operations,"Included because it concerns economic stability, public finance, oil, fuel or energy policy.",Economy & Energy,HIGH,91,2026-06-16,Libya Observer,https://libyaobserver.ly/news/protesters-shut-down-iom-office-tripoli-over-migration-policies,1,91,"Included because it concerns economic stability, public finance, oil, fuel or energy policy.",approved,Single-source story
story-010,NOC signs 3 oil production-sharing agreements with international firms,"Included because it concerns economic stability, public finance, oil, fuel or energy policy.",Economy & Energy,HIGH,91,2026-06-16,Libya Observer,https://libyaobserver.ly/economy/noc-signs-3-oil-production-sharing-agreements-international-firms,1,91,"Included because it concerns economic stability, public finance, oil, fuel or energy policy.",approved,Single-source story
story-005,"Saddam Haftar, Greek PM review military and economic cooperation","Included because it concerns economic stability, public finance, oil, fuel or energy policy.",Economy & Energy,HIGH,91,2026-06-16,Libya Observer,https://libyaobserver.ly/inbrief/saddam-haftar-greek-pm-review-military-and-economic-cooperation,1,91,"Included because it concerns economic stability, public finance, oil, fuel or energy policy.",approved,Single-source story
story-019,Structured Dialogue recommendations advance Libya political process,Included because it affects Libya's political process or national institutions.,Politics,HIGH,91,2026-06-16,Al Marsad,https://almarsad.co/2026/06/16/%d8%a7%d9%84%d9%81%d8%b1%d9%8a%d9%82-%d8%a7%d9%84%d8%aa%d9%85%d9%8a%d9%85%d9%8a-%d9%8a%d8%a8%d8%ad%d8%ab-%d9%85%d8%b9-%d8%ae%d9%88%d8%b1%d9%8a-%d8%aa%d9%88%d8%b5%d9%8a%d8%a7%d8%aa-%d8%a7%d9%84%d8%ad/,1,91,Included because it affects Libya's political process or national institutions.,approved,Single-source story
story-006,UN migration agencies track protection and return issues affecting Libya,"Included because it concerns economic stability, public finance, oil, fuel or energy policy.",Economy & Energy,HIGH,91,2026-06-16,Libya Observer,https://libyaobserver.ly/inbrief/french-ambassador-khaled-haftar-hold-talks-military-cooperation-benghazi,1,91,"Included because it concerns economic stability, public finance, oil, fuel or energy policy.",approved,Single-source story
story-022,"Business & Investment â¢ 3 days ago Koreaâs KS AUTOTRADING signs investment agreement with, and opens branch in, Misrata Free Zone Read Article â","Included because it concerns economic stability, public finance, oil, fuel or energy policy.",Economy & Energy,HIGH,91,2026-06-17,Libya Herald,https://libyaherald.com/2026/06/koreas-ks-autotrading-signs-investment-agreement-with-and-opens-branch-in-misrata-free-zone,1,91,"Included because it concerns economic stability, public finance, oil, fuel or energy policy.",approved,Single-source story
story-021,"Economy & Policy â¢ 3 days ago CBL source to Libya Herald: All CBL systems are back in operation - Personal Loan limit to rise to US$ 4,000 Read Art...","Included because it concerns economic stability, public finance, oil, fuel or energy policy.",Economy & Energy,HIGH,91,2026-06-17,Libya Herald,https://libyaherald.com/2026/06/cbl-source-to-libya-herald-all-cbl-systems-are-back-in-operation-personal-loan-limit-to-rise-to-us-4000,1,91,"Included because it concerns economic stability, public finance, oil, fuel or energy policy.",approved,Single-source story
story-030,Libyan security authorities report local arrest operation,Included because it affects Libya's political process or national institutions.,Military & Security,HIGH,88,2026-06-16,Libya Al Ahrar,https://libyaalahrar.tv/2026/06/16/%d8%b3%d8%b1%d8%aa-%d9%83%d8%b4%d9%81-%d8%ac%d8%b1%d9%8a%d9%85%d8%a9-%d9%82%d8%aa%d9%84-%d8%a8%d8%a7%d9%84%d8%ad%d9%8a-%d8%a7%d9%84%d8%b5%d9%86%d8%a7%d8%b9%d9%8a-%d8%b1%d8%a7%d8%ad-%d8%b6%d8%ad/,1,88,Included because it affects security conditions or armed/security arrangements.,approved,Single-source story; classification_qa:arrest
story-025,Deaths reported after migrant boat incident linked to Libya route,"Included because migration, refugees or migrant protection affect UNSMIL situational awareness.",Migration,HIGH,88,2026-06-17,Akhbar Libya 24,https://akhbarlibya24.net/2026/06/17/%d9%83%d9%85%d9%88%d8%af-%d9%85%d8%a4%d8%aa%d9%85%d8%b1-%d8%a8%d9%86%d8%ba%d8%a7%d8%b2%d9%8a-%d9%8a%d8%b9%d8%b2%d8%b2-%d8%a7%d9%84%d8%a5%d9%81%d8%b1%d9%8a%d9%82%d9%8a-%d8%a7%d9%84%d8%a2%d8%b3%d9%8a,1,88,"Included because migration, refugees or migrant protection affect UNSMIL situational awareness.",approved,Single-source story
story-018,Public Prosecution orders detention in local accountability case,"Included because it concerns rights, justice, accountability or rule of law.",Human Rights & Rule of Law,HIGH,87,2026-06-16,Al Marsad,https://almarsad.co/2026/06/16/%d8%a7%d9%84%d9%86%d8%a7%d8%a6%d8%a8-%d8%a7%d9%84%d8%b9%d8%a7%d9%85-%d8%b9%d9%85%d9%8a%d8%af-%d8%b3%d8%a7%d8%a8%d9%82-%d9%84%d8%b3%d9%88%d9%82-%d8%a7%d9%84%d8%ae%d9%85%d9%8a%d8%b3-%d9%85%d8%b3%d9%8a/,1,87,"Included because it concerns rights, justice, accountability or rule of law.",approved,Single-source story
story-029,Health and rights concerns grow over Gaza convoy activists detained in eastern Libya,"Included because it concerns rights, justice, accountability or rule of law.",Human Rights & Rule of Law,HIGH,84,2026-06-16,Tanasuh,https://tanasuh.tv/12548-3/,1,84,"Included because it concerns rights, justice, accountability or rule of law.",approved,Single-source story
story-024,Public Prosecution pursues corruption case with rule-of-law implications,"Included because it concerns rights, justice, accountability or rule of law.",Human Rights & Rule of Law,HIGH,84,2026-06-17,Akhbar Libya 24,https://akhbarlibya24.net/2026/06/17/%d8%a7%d9%84%d9%86%d9%8a%d8%a7%d8%a8%d8%a9-%d8%a7%d9%84%d8%b9%d8%a7%d9%85%d8%a9-%d8%aa%d8%a3%d9%85%d8%b1-%d8%a8%d8%ad%d8%a8%d8%b3-%d8%b9%d9%85%d9%8a%d8%af,1,84,"Included because it concerns rights, justice, accountability or rule of law.",approved,Single-source story
story-001,Libyan security authorities report drug-enforcement operation,Included because it affects security conditions or armed/security arrangements.,Military & Security,HIGH,60,2026-06-17,Al Wasat,https://alwasat.ly/news/libya/521758,1,60,Included because it affects security conditions or armed/security arrangements.,approved,Single-source story
story-017,South Korea Orders Deportation of Libyan National Over $62 Million Crypto Scheme,"Included because it concerns economic stability, public finance, oil, fuel or energy policy.",Economy & Energy,MEDIUM,89,2026-06-16,Libya Review,https://libyareview.com/66265/south-korea-orders-deportation-of-libyan-national-over-62-million-crypto-scheme/,1,89,"Included because it concerns economic stability, public finance, oil, fuel or energy policy.",approved,Single-source story
story-028,Electricity outages and grid pressures continue affecting western Libya,"Included because it concerns economic stability, public finance, oil, fuel or energy policy.",Economy & Energy,MEDIUM,86,2026-06-16,RNA Reportage,https://reportage.ly/إعادة-الكهرباء-إلى-مناطق-في-بنغازي/,1,86,"Included because it concerns economic stability, public finance, oil, fuel or energy policy.",approved,Single-source story
story-012,Government reviews implementation challenges affecting Tripoli development projects,Included because it concerns foreign relations or diplomacy affecting Libya.,Regional & International,MEDIUM,85,2026-06-16,Libya Al Ahrar,https://libyaalahrar.tv/2026/06/16/%d9%85%d9%86%d8%b8%d9%85%d8%a9-%d8%af%d8%b9%d9%85-%d8%a7%d9%84%d8%aa%d8%a8%d8%b1%d8%b9-%d8%a8%d8%a7%d9%84%d8%a3%d8%b9%d8%b6%d8%a7%d8%a1-%d8%aa%d8%b9%d9%84%d9%86-%d9%88%d9%81%d8%a7%d8%a9-%d9%85%d8%b1/,1,85,Included because it concerns foreign relations or diplomacy affecting Libya.,approved,Single-source story
story-003,Libya participates in regional election-related forum in Tunisia,Included because it concerns foreign relations or diplomacy affecting Libya.,Regional & International,MEDIUM,85,2026-06-16,Al Wasat; Tanasuh,https://alwasat.ly/news/libya/521721; https://tanasuh.tv/45245-2/,2,89,Included because it concerns foreign relations or diplomacy affecting Libya.,approved,Cross-source cluster
story-023,Egypt and United States discuss developments in Libya and Sudan,Included because it concerns foreign relations or diplomacy affecting Libya.,Regional & International,MEDIUM,80,2026-06-17,Libya Review,https://libyareview.com/64449/egypt-comeback-deepens-libyas-u17-qualifying-woes/,1,80,Included because it concerns foreign relations or diplomacy affecting Libya.,approved,Single-source story
story-027,Libyan and Turkish officials discuss strengthening bilateral cooperation,Included because it concerns foreign relations or diplomacy affecting Libya.,Regional & International,MEDIUM,80,2026-06-17,Libya Review,https://libyareview.com/46474/turkey-engages-in-talks-with-egypt-to-promote-peace-in-libya/,1,80,Included because it concerns foreign relations or diplomacy affecting Libya.,approved,Single-source story
story-015,Libyan institutions address cultural and social developments with national monitoring relevance,Included because it has exceptional Libya relevance.,Varieties,MEDIUM,60,2026-06-16,Libya Herald,https://libyaherald.com/2026/06/benghazi-home-hospitality-show-2026-opens,1,60,Included because it has exceptional Libya relevance.,approved,Single-source story
