story_id,canonical_headline,source_count,source_names,source_urls,language_markers,consolidation_status
story-001,Libyan security authorities report drug-enforcement operation,1,Al Wasat,https://alwasat.ly/news/libya/521758,(Arabic),ok
story-002,Government bodies address public administration and service-delivery priorities,1,Al Wasat,https://alwasat.ly/news/libya/521727,(Arabic),ok
story-003,Libya participates in regional election-related forum in Tunisia,2,Al Wasat; Tanasuh,https://alwasat.ly/news/libya/521721; https://tanasuh.tv/45245-2/,(Arabic); (Arabic),ok
story-004,"Libya, Iraq discuss education cooperation MoU",1,Libya Observer,https://libyaobserver.ly/inbrief/libya-iraq-discuss-education-cooperation-mou,,ok
story-005,"Saddam Haftar, Greek PM review military and economic cooperation",1,Libya Observer,https://libyaobserver.ly/inbrief/saddam-haftar-greek-pm-review-military-and-economic-cooperation,,ok
story-006,UN migration agencies track protection and return issues affecting Libya,1,Libya Observer,https://libyaobserver.ly/inbrief/french-ambassador-khaled-haftar-hold-talks-military-cooperation-benghazi,,ok
story-007,"Koury, Russian Ambassador discuss structured dialogue outcomes and election efforts",1,Libya Observer,https://libyaobserver.ly/inbrief/koury-russian-ambassador-discuss-structured-dialogue-outcomes-and-election-efforts,,ok
story-008,Libyan authorities expand deportation and anti-migration operations,1,Libya Observer,https://libyaobserver.ly/news/protesters-shut-down-iom-office-tripoli-over-migration-policies,,ok
story-009,Delegations arrive in Tripoli for African petroleum training forum,1,Libya Observer,https://libyaobserver.ly/inbrief/delegations-arrive-tripoli-african-petroleum-training-forum,,ok
story-010,NOC signs 3 oil production-sharing agreements with international firms,1,Libya Observer,https://libyaobserver.ly/economy/noc-signs-3-oil-production-sharing-agreements-international-firms,,ok
story-011,Libyan Investment Authority Assets Rise to $51.8 Billion in First Quarter of 2026,2,Libya Observer; Libya Review,https://libyaobserver.ly/economy/libya-investment-authority-announces-assets-increase-518-billion; https://libyareview.com/66255/libyan-investment-authority-assets-rise-to-51-8-billion-in-first-quarter-of-2026/,; ,ok
story-012,Government reviews implementation challenges affecting Tripoli development projects,1,Libya Al Ahrar,https://libyaalahrar.tv/2026/06/16/%d9%85%d9%86%d8%b8%d9%85%d8%a9-%d8%af%d8%b9%d9%85-%d8%a7%d9%84%d8%aa%d8%a8%d8%b1%d8%b9-%d8%a8%d8%a7%d9%84%d8%a3%d8%b9%d8%b6%d8%a7%d8%a1-%d8%aa%d8%b9%d9%84%d9%86-%d9%88%d9%81%d8%a7%d8%a9-%d9%85%d8%b1/,(Arabic),ok
story-013,Libyan Business Council Benghazi Hosts Chinese Ambassador,1,Libya Herald,https://libyaherald.com/2026/06/lbc-benghazi-branch-hosts-chinese-ambassador,,ok
story-014,Libya and Mauritania discuss expanding bilateral partnership,1,Libya Herald,https://libyaherald.com/2026/06/third-made-in-libya-exhibition-to-be-held-in-mauritania-in-december-2026,,ok
story-015,Libyan institutions address cultural and social developments with national monitoring relevance,1,Libya Herald,https://libyaherald.com/2026/06/benghazi-home-hospitality-show-2026-opens,,ok
story-016,Libya Hosts Trilateral Meeting with Algeria & Tunisia to Tackle Smuggling & Migration,1,Libya Review,https://libyareview.com/66263/libya-hosts-trilateral-meeting-with-algeria-tunisia-to-tackle-smuggling-migration/,,ok
story-017,South Korea Orders Deportation of Libyan National Over $62 Million Crypto Scheme,1,Libya Review,https://libyareview.com/66265/south-korea-orders-deportation-of-libyan-national-over-62-million-crypto-scheme/,,ok
story-018,Public Prosecution orders detention in local accountability case,1,Al Marsad,https://almarsad.co/2026/06/16/%d8%a7%d9%84%d9%86%d8%a7%d8%a6%d8%a8-%d8%a7%d9%84%d8%b9%d8%a7%d9%85-%d8%b9%d9%85%d9%8a%d8%af-%d8%b3%d8%a7%d8%a8%d9%82-%d9%84%d8%b3%d9%88%d9%82-%d8%a7%d9%84%d8%ae%d9%85%d9%8a%d8%b3-%d9%85%d8%b3%d9%8a/,(Arabic),ok
story-019,Structured Dialogue recommendations advance Libya political process,1,Al Marsad,https://almarsad.co/2026/06/16/%d8%a7%d9%84%d9%81%d8%b1%d9%8a%d9%82-%d8%a7%d9%84%d8%aa%d9%85%d9%8a%d9%85%d9%8a-%d9%8a%d8%a8%d8%ad%d8%ab-%d9%85%d8%b9-%d8%ae%d9%88%d8%b1%d9%8a-%d8%aa%d9%88%d8%b5%d9%8a%d8%a7%d8%aa-%d8%a7%d9%84%d8%ad/,(Arabic),ok
story-020,General Saddam Haftar meets Greek Prime Minister in Athens to discuss cooperation and illegal migration,1,Libya Update,https://libyaupdate.com/general-saddam-haftar-meets-greek-prime-minister-in-athens-to-discuss-cooperation-and-illegal-migration/,(Arabic),ok
story-021,"Economy & Policy â¢ 3 days ago CBL source to Libya Herald: All CBL systems are back in operation - Personal Loan limit to rise to US$ 4,000 Read Art...",1,Libya Herald,https://libyaherald.com/2026/06/cbl-source-to-libya-herald-all-cbl-systems-are-back-in-operation-personal-loan-limit-to-rise-to-us-4000,,ok
story-022,"Business & Investment â¢ 3 days ago Koreaâs KS AUTOTRADING signs investment agreement with, and opens branch in, Misrata Free Zone Read Article â",1,Libya Herald,https://libyaherald.com/2026/06/koreas-ks-autotrading-signs-investment-agreement-with-and-opens-branch-in-misrata-free-zone,,ok
story-023,Egypt and United States discuss developments in Libya and Sudan,1,Libya Review,https://libyareview.com/64449/egypt-comeback-deepens-libyas-u17-qualifying-woes/,,ok
story-024,Public Prosecution pursues corruption case with rule-of-law implications,1,Akhbar Libya 24,https://akhbarlibya24.net/2026/06/17/%d8%a7%d9%84%d9%86%d9%8a%d8%a7%d8%a8%d8%a9-%d8%a7%d9%84%d8%b9%d8%a7%d9%85%d8%a9-%d8%aa%d8%a3%d9%85%d8%b1-%d8%a8%d8%ad%d8%a8%d8%b3-%d8%b9%d9%85%d9%8a%d8%af,(Arabic),ok
story-025,Deaths reported after migrant boat incident linked to Libya route,1,Akhbar Libya 24,https://akhbarlibya24.net/2026/06/17/%d9%83%d9%85%d9%88%d8%af-%d9%85%d8%a4%d8%aa%d9%85%d8%b1-%d8%a8%d9%86%d8%ba%d8%a7%d8%b2%d9%8a-%d9%8a%d8%b9%d8%b2%d8%b2-%d8%a7%d9%84%d8%a5%d9%81%d8%b1%d9%8a%d9%82%d9%8a-%d8%a7%d9%84%d8%a2%d8%b3%d9%8a,(Arabic),ok
story-026,UN officials address Libya political process and institutional division,1,Libya Review,https://libyareview.com/60083/unsmil-supports-libyas-national-anti-corruption-strategy/,,ok
story-027,Libyan and Turkish officials discuss strengthening bilateral cooperation,1,Libya Review,https://libyareview.com/46474/turkey-engages-in-talks-with-egypt-to-promote-peace-in-libya/,,ok
story-028,Electricity outages and grid pressures continue affecting western Libya,1,RNA Reportage,https://reportage.ly/إعادة-الكهرباء-إلى-مناطق-في-بنغازي/,(Arabic),ok
story-029,Health and rights concerns grow over Gaza convoy activists detained in eastern Libya,1,Tanasuh,https://tanasuh.tv/12548-3/,(Arabic),ok
story-030,Libyan security authorities report local arrest operation,1,Libya Al Ahrar,https://libyaalahrar.tv/2026/06/16/%d8%b3%d8%b1%d8%aa-%d9%83%d8%b4%d9%81-%d8%ac%d8%b1%d9%8a%d9%85%d8%a9-%d9%82%d8%aa%d9%84-%d8%a8%d8%a7%d9%84%d8%ad%d9%8a-%d8%a7%d9%84%d8%b5%d9%86%d8%a7%d8%b9%d9%8a-%d8%b1%d8%a7%d8%ad-%d8%b6%d8%ad/,(Arabic),ok
story-031,UNSMIL-linked Structured Dialogue recommendations shape Libya transition debate,1,Ean Libya,https://www.eanlibya.com/%d8%a7%d9%84%d8%a8%d8%b9%d8%ab%d8%a9-%d8%a7%d9%84%d8%a3%d9%85%d9%85%d9%8a%d8%a9-%d8%aa%d8%b9%d9%82%d8%af-%d8%a7%d8%ac%d8%aa%d9%85%d8%a7%d8%b9%d8%a7%d9%8b-%d8%a7%d9%81%d8%aa%d8%b1%d8%a7%d8%b6%d9%8a/,(Arabic),ok
story-032,Libya political track raised in UN Security Council context,1,Al Sabaah,https://alsabaah.ly/%d8%a7%d9%84%d8%a3%d9%85%d9%85-%d8%a7%d9%84%d9%85%d8%aa%d8%ad%d8%af%d8%a9-%d8%aa%d8%a4%d9%83%d8%af-%d8%b9%d9%84%d9%89-%d8%b6%d8%b1%d9%88%d8%b1%d8%a9-%d8%a5%d8%b4%d8%b1%d8%a7%d9%83-%d8%a7%d9%84%d8%b4/,(Arabic),ok
